id,serverid,scheduleexpr,command,comment,status,isDisabled
1,4,crontab,pwd,abc,completed,FALSE
2,4,crontab,ls,abc,pending,TRUE
3,4,crontab,grep,abc,pending,FALSE
4,4,crontab,telnet,abc,pending,TRUE
5,4,crontab,ipconfig,abc,pending,TRUE
6,4,crontab,bash,abc,pending,TRUE
7,4,crontab,commit,abc,completed,FALSE
8,4,crontab,dbcacheclean,abc,pending,FALSE
9,4,crontab,delete,abc,completed,FALSE
10,4,crontab,rm,abc,completed,TRUE
11,4,crontab,rails,abc,pending,TRUE
12,4,crontab,ruby,abc,completed,TRUE
13,4,crontab,yoman,abc,pending,FALSE
14,4,crontab,more,abc,completed,FALSE
15,4,crontab,diff,abc,completed,TRUE
16,4,crontab,chmod,abc,completed,FALSE
17,4,crontab,cat,abc,pending,FALSE
18,4,crontab,gzip,abc,completed,FALSE
19,4,crontab,gzcat,abc,completed,FALSE
